code;name
AAA;Audi South Africa made by Volkswagen of South Africa
AAK;FAW Vehicle Manufacturers SA (PTY) Ltd.
AAM;MAN Automotive (South Africa) (Pty) Ltd. (includes VW Truck & Bus)
AAP;VIN restamped by South African Police Service (so-called SAPVIN or AAPV number)
AAV;Volkswagen South Africa
AAW;Challenger Trailer Pty Ltd. (South Africa)
AA9/CN1;TR-Tec Pty Ltd. (South Africa)
ABJ;Mitsubishi Colt & Triton pickups made by Mercedes-Benz South Africa 1994–2011
ABJ;Mitsubishi Fuso made by Daimler Trucks & Buses Southern Africa
ABM;BMW Southern Africa
ACV;Isuzu Motors South Africa 2018-
AC5;[[../Hyundai/VIN Codes|Hyundai]] Automotive South Africa 
ADD;UD Trucks Southern Africa (Pty) Ltd.
ADM;General Motors South Africa (includes Isuzu through 2018)
ADN;Nissan South Africa (Pty) Ltd.
ADR;Renault Sandero made by Nissan South Africa (Pty) Ltd.
ADX;Tata Automobile Corporation (SA) Ltd.
AFA;Ford Motor Company of Southern Africa & Samcor
AFB;Mazda BT-50 made by Ford Motor Company of Southern Africa
AHH;Hino South Africa
AHM;Honda Ballade made by Mercedes-Benz South Africa 1982–2000
AHT;Toyota South Africa Motors (Pty.) Ltd.
BF9/;KIBO Motorcycles, Kenya
BUK;Kiira Motors Corporation, Uganda
BR1;Mercedes-Benz Algeria (SAFAV MB)
EBZ;Nizhekotrans (bus, Russia)
DF9/;Laraki (Morocco)
HA0;Wuxi Sundiro Electric Vehicle Co., Ltd. (Palla, Parray)
HA6;Niu Technologies
HA7;Jinan Qingqi KR Motors Co., Ltd.
HES;smart Automobile Co., Ltd. (Mercedes-Geely joint venture) 
HGL; Farizon Auto van (Geely)
HGX; Wuling Motors van (Geely)
HJR;Jetour (Chery)
HL4;Zhejiang Morini Vehicle Co., Ltd. <br />(Moto Morini subsidiary of Taizhou Zhongneng Motorcycle Co., Ltd.)
HRV;Beijing Henrey Automobile Technology Co., Ltd.
JAA;Isuzu truck
JAB;Isuzu car
JAC;Isuzu SUV
JAE;Acura SLX made by Isuzu
JAL;Isuzu commercial trucks & <br /> Chevrolet commercial trucks made by Isuzu 2016+ & <br /> Hino S-series truck made by Isuzu (Incomplete Vehicle)
JAM;Isuzu commercial trucks (Incomplete Vehicle)
JA3;Mitsubishi car (for North America)
JA4;Mitsubishi MPV/SUV (for North America)
JA7;Mitsubishi truck (for North America)
JB3;Dodge car made by Mitsubishi Motors
JB4;Dodge MPV/SUV made by Mitsubishi Motors
JB7;Dodge truck made by Mitsubishi Motors
JC0;Ford brand cars made by Mazda
JC1;Fiat 124 Spider made by Mazda
JC2;Ford Courier made by Mazda
JDA;Daihatsu
JD1;Daihatsu car
JD2;Daihatsu SUV
JD4;Daihatsu truck
JE3;Eagle car made by Mitsubishi Motors
JE4;Mitsubishi Motors
JF1;([[../Subaru/VIN Codes|Subaru]]) car
JF2;([[../Subaru/VIN Codes|Subaru]]) SUV
JF3;([[../Subaru/VIN Codes|Subaru]]) truck
JF4;Saab 9-2X made by Subaru
JG1;Chevrolet/Geo car made by Suzuki
JG2;Pontiac car made by Suzuki
JG7;Pontiac/Asuna car made by Suzuki for GM Canada
JGC;Chevrolet/Geo SUV made by Suzuki (classified as a truck)
JGT;GMC SUV made by Suzuki for GM Canada (classified as a truck)
JHA;Hino truck
JHB;Hino incomplete vehicle
JHD;Hino
JHF;Hino
JHH;Hino incomplete vehicle
JHF-JHG;[[../Honda/VIN Codes|Honda]]
JHL-JHN;[[../Honda/VIN Codes|Honda]]
JHZ;[[../Honda/VIN Codes|Honda]]
JH1-JH5;[[../Honda/VIN Codes|Honda]]
JHL;[[../Honda/VIN Codes|Honda]] MPV/SUV
JHM;[[../Honda/VIN Codes|Honda]] car
JH1;[[../Honda/VIN Codes|Honda]] truck
JH2;[[../Honda/VIN Codes|Honda]] motorcycle/ATV
JH3;[[../Honda/VIN Codes|Honda]] ATV
JH4;Acura car
JH6;Hino incomplete vehicle
JJ3;Chrysler brand car made by Mitsubishi Motors
JKA;Kawasaki (motorcycles)
JKB;Kawasaki (motorcycles)
JKS;Suzuki Marauder 1600/Boulevard M95 motorcycle made by Kawasaki
JK8;Suzuki QUV620F UTV made by Kawasaki
JLF;Mitsubishi Fuso Truck & Bus Corp.
JLS;Sterling Truck 360 made by Mitsubishi Fuso Truck & Bus Corp.
JL5;Mitsubishi Fuso Truck & Bus Corp.
JL6;Mitsubishi Fuso Truck & Bus Corp.
JMA;Mitsubishi Motors (right-hand drive) for Europe
JMB;Mitsubishi Motors (left-hand drive) for Europe
JMF;Mitsubishi Motors (including Mitsubishi Express made by Renault)
JMP;Mitsubishi Motors (left-hand drive)
JMR;Mitsubishi Motors (right-hand drive)
JMY;Mitsubishi Motors (left-hand drive) for South America & Middle East
JMZ;Mazda for Europe export
JM0;Mazda for Oceania export
JM1;Mazda car
JM2;Mazda truck
JM3;Mazda MPV/SUV
JM4;Mazda
JM6;Mazda
JM7;Mazda
JNA;Nissan Diesel/UD Trucks incomplete vehicle
JNC;Nissan Diesel/UD Trucks
JNE;Nissan Diesel/UD Trucks truck
JNK;Infiniti car
JNR;Infiniti SUV
JNX;Infiniti incomplete vehicle
JN1;Nissan car & Infiniti car
JN3;Nissan incomplete vehicle
JN6;Nissan truck/van & Mitsubishi Fuso Canter Van
JN8;Nissan MPV/SUV & Infiniti SUV
JPC;Nissan Diesel/UD Trucks
JP3;Plymouth car made by Mitsubishi Motors
JP4;Plymouth MPV/SUV made by Mitsubishi Motors
JP7;Plymouth truck made by Mitsubishi Motors
JR2;Isuzu Oasis made by Honda
JSA;Suzuki ATV & '03 Kawasaki KFX400 ATV made by Suzuki, Suzuki car/SUV (outside N. America)
JSK;Kawasaki KLX125/KLX125L motorcycle made by Suzuki
JSL;'04-'06 Kawasaki KFX400 ATV made by Suzuki
JST;Suzuki Across SUV made by Toyota
JS1;Suzuki motorcycle & Kawasaki KLX400S/KLX400SR motorcycle made by Suzuki
JS2;Suzuki car
JS3;Suzuki SUV
JS4;Suzuki truck
JTB;Toyota bus
JTD;Toyota car
JTE;Toyota MPV/SUV
JTF;Toyota van/truck
JTG;Toyota MPV/bus
JTH;Lexus car
JTJ;Lexus SUV
JTK;Toyota car
JTL;Toyota SUV
JTM;Toyota SUV
JTN;Toyota car
JTP;Toyota SUV
JT1;[[../Toyota/VIN Codes|Toyota]] van
JT2;Toyota car
JT3;Toyota MPV/SUV
JT4;Toyota truck/van
JT5;Toyota incomplete vehicle
JT6;Lexus SUV
JT8;Lexus car
JW6;Mitsubishi Fuso division of Mitsubishi Motors (through mid 2003)
JYA;Yamaha motorcycles
JYE;Yamaha snowmobile
JY3;Yamaha 3-wheel ATV
JY4;Yamaha 4-wheel ATV
J81;Chevrolet/Geo car made by Isuzu
J87;Pontiac/Asüna car made by Isuzu for GM Canada
J8B;Chevrolet commercial trucks made by Isuzu (incomplete vehicle)
J8C;Chevrolet commercial trucks made by Isuzu (truck)
J8D;GMC commercial trucks made by Isuzu (incomplete vehicle)
J8T;GMC commercial trucks made by Isuzu (truck)
J8Z;Chevrolet LUV pickup truck made by Isuzu
KF3;Merkavim (Israel)
KF6;Automotive Industries, Ltd. (Israel)
KF9/004;Tomcar (Israel)
KL;Daewoo [[../GM/VIN Codes|General Motors]] South Korea
KLA;Daewoo/GM Daewoo/GM Korea (Chevrolet/Alpheon)<br /> from Bupyeong & Kunsan plants
KLP;CT&T United (battery electric low-speed vehicles)
KLT;Tata Daewoo
KLU;Tata Daewoo
KLY;Daewoo/GM Daewoo/GM Korea (Chevrolet) from Changwon plant
KL1;GM Daewoo/GM Korea (Chevrolet car)
KL2;Daewoo/GM Daewoo (Pontiac)
KL3;GM Daewoo/GM Korea (Holden)
KL4;GM Korea (Buick)
KL5;GM Daewoo (Suzuki)
KL6;GM Daewoo (GMC)
KL7;Daewoo (GM Canada brands: Passport, Asuna (Pre-2000))
KL7;GM Daewoo/GM Korea (Chevrolet MPV/SUV (Post-2000))
KL8;GM Daewoo/GM Korea (Chevrolet car (Spark))
KM;[[../Hyundai/VIN Codes|Hyundai]]
KMC;Hyundai commercial truck
KME;Hyundai commercial truck (semi-tractor)
KMF;Hyundai van & commercial truck & Bering Truck
KMH;Hyundai car
KMJ;Hyundai minibus/bus
KMT;Genesis Motor car
KMU;Genesis Motor SUV
KMY;Daelim Motor Company, Ltd/DNA Motors Co., Ltd. (motorcycles)
KM1;Hyosung Motors (motorcycles)
KM4;Hyosung Motors/S&T Motors/KR Motors (motorcycles)
KM8;Hyundai SUV
KNA;Kia car
KNC;Kia truck
KND;Kia MPV/SUV & Hyundai Entourage
KNE;Kia for Europe export
KNF;Kia, special vehicles
KNG;Kia minibus/bus
KNJ;Ford Festiva & Aspire made by Kia
KNM;Renault Samsung Motors & Nissan Rogue made by Renault Samsung 
KN1;Asia Motors
KN2;Asia Motors
KPA;SsangYong/KG Mobility (KGM) pickup
KPB;SsangYong car
KPH;Mitsubishi Precis
KPT;SsangYong/KG Mobility (KGM) SUV/MPV
LAA;Shanghai Jialing Vehicle Co., Ltd. (motorcycle)
LAE;Jinan Qingqi Motorcycle
LAL;Sundiro [[../Honda/VIN Codes|Honda]] Motorcycle
LAN;Changzhou Yamasaki Motorcycle
LAP;Chongqing Jianshe Motorcycle Co., Ltd.
LAP;Zhuzhou Nanfang Motorcycle Co., Ltd.
LAT;Luoyang Northern Ek Chor Motorcycle Co., Ltd. (Dayang)
LA6;King Long
LA8;Anhui Ankai
LA7; Radar Auto (Geely)
LA9/LC0;BYD
LA9/LM6;SRM Shineray
LBB;Zhejiang Qianjiang Motorcycle (QJ Motor/Keeway/Benelli)
LBE;Beijing [[../Hyundai/VIN Codes|Hyundai]] (Hyundai, Shouwang)
LBM;Zongshen Piaggio
LBP;Chongqing Jianshe Yamaha Motor Co. Ltd. (motorcycles)
LBV;BMW Brilliance
LB1;Fujian Benz
LB2;Geely Motorcycles
LB3;Geely Automobile (Geely, Kandi)
LB4;Chongqing Yinxiang Motorcycle Group Co., Ltd.
LB5;Foshan City Fosti Motorcycle Co., Ltd.
LB7;Tibet New Summit Motorcycle Co., Ltd.
LCE;Hangzhou Chunfeng Motorcycles (CFMOTO)
LCR;Gonow
LC0;BYD Auto (BYD, Denza)
LC2;Changzhou Kwang Yang Motor Co., Ltd. (Kymco)
LC6;Changzhou Haojue Suzuki Motorcycle Co. Ltd.
LDC;Dongfeng Peugeot Citroen Automobile Co., Ltd. (DPCA)
LDD;Dandong Huanghai Automobile
LDF;Dezhou Fulu Vehicle Co., Ltd. (motorcycles), BAW Yuanbao electric car (Ace P1 in Norway)
LDK;FAW Bus (Dalian) Co., Ltd.
LDN;Soueast (South East (Fujian) Motor Co., Ltd.) including Mitsubishi made by Soueast
LDP;Voyah, Dongfeng
LDY;Zhongtong Bus, China
LD3;GuangDong Tayo Motorcycle Technology Co. (Zontes) (motorcycle)
LD5;Benzhou Vehicle Industry Group Ltd. (motorcycle)
LD9/L3A;SiTech (FAW)
LEC;Tianjin Qingyuan Electric Vehicle Co., Ltd.
LEF;Jiangling Motors Corporation Ltd. (JMC)
LEH;Zhejiang Riya Motorcycle Co. Ltd.
LET;Jiangling-Isuzu Motors, China
LE4;Beijing Benz & Beijing Benz-Daimler Chrysler Automotive Co. (Chrysler, Mitsubishi, Mercedes-Benz)
LE8;Guangzhou Panyu Hua'Nan Motors Industry Co. Ltd. (motorcycles)
LFB;FAW Group
LFF;Zhejiang Taizhou Wangye Power Co., Ltd.
LFG;Taizhou Chuanl Motorcycle Manufacturing
LFM;FAW Toyota Motor (Toyota, Ranz)
LFN;FAW Bus (Wuxi) Co., Ltd. (truck, bus)
LFP;FAW Car, Bestune (passenger vehicles)
LFT;FAW (trailers)
LFU;Lifeng Group Co., Ltd. (motorcycles)
LFV;FAW-Volkswagen (VW, Audi, Kaili)
LFW;FAW JieFang
LFY;Changshu Light Motorcycle Factory
LFZ;Leapmotor
LF3;Lifan Motorcycle 
LGA;Dongfeng Commercial Vehicle Co., Ltd. trucks
LGB;Dongfeng Nissan (Nissan, Venucia)
LGB;Dongfeng Commercial Vehicle Co., Ltd. buses
LGG;Dongfeng Liuzhou Motor
LGJ;Dongfeng Fengshen (Aeolus)
LGL;Guilin Daewoo
LGW;Great Wall Motor (GWM, Haval, Ora, Tank, Wey)
LGX;BYD Auto
LGZ;Guangzhou Denway Bus
LHA;Shuanghuan Auto
LHB;Beijing Automotive Industry Holding
LHG;Guangzhou Honda
LH0;WM Motor Technology Co., Ltd. (Weltmeister)
LH1;FAW-Haima, China
LJC;Jincheng Corporation
LJD;Yueda Kia (previously Dongfeng Yueda Kia) (Kia, Horki)
LJD;Human Horizons - HiPhi (made by Yueda Kia)
LJN;Zhengzhou Nissan
LJS;Yaxing Coach
LJU;Shanghai Maple Automobile & Kandi
LJU;Lotus/Geely (Wuhan Lotus Cars Co., Ltd.)
LJV;Sinotruk Chengdu Wangpai Commercial Vehicle Co., Ltd.
LJX;JMC Ford
LJ1;JAC, China
LJ1;Nio, Inc.
LJ4;Shanghai Jmstar Motorcycle Co., Ltd.
LJ8;Zotye Auto
LKC;Changhe
LKG;Youngman Lotus Automobile Co., Ltd.
LKH;Hafei Motor
LKL;Higer Bus
LKT;Yunnan Lifan Junma Vehicle Co., Ltd. commercial vehicles
LK6;Wuling (quadricycle)
LLC;Loncin
LLJ;Jiangsu Xinling Motorcycle Fabricate Co., Ltd.
LLN;Qoros 
LLU;Dongfeng Fengxing Jingyi
LLV;Lifan
LLX;Yudo Auto
LL2;WM Motor Technology Co., Ltd. (Weltmeister)
LL3;Xiamen Golden Dragon Bus Co. Ltd.
LL6;GAC Mitsubishi Motors Co., Ltd. (formerly Hunan Changfeng)
LL8;Jiangsu Linhai Yamaha Motor Co., Ltd.
LMC;Suzuki Hong Kong (motorcycles)
LME;Skyworth (formerly Skywell)
LMF;Jiangmen Zhongyu Motor Co., Ltd.
LMG;GAC Trumpchi
LMV;Haima Car Co., Ltd.
LMV;XPeng Motors G3 (not G3i) made by Haima
LMW;GAC Group, [[w:Trumpchi GS5#Dodge Journey|Dodge Journey made by GAC]]
LMX;Forthing (Dongfeng Fengxing)
LM0;Wangye Holdings Co., Ltd. (motorcycles)
LM6;SWM (automobiles)
LM8;Seres (formerly SF Motors), Seres Aito
LNA;GAC Aion New Energy Automobile Co., Ltd.
LNB;BAIC Motor
LND;JMEV (Jiangxi Jiangling Group New Energy Vehicle Co., Ltd.)
LNP;NAC MG UK Limited & Nanjing Fiat Automobile
LNN;Chery Automobile (Omoda)
LNY;Yuejin
LPA;Changan PSA (DS Automobiles)
LPE;BYD Auto
LPS;Polestar
LP6;Guangzhou Panyu Haojian Motorcycle Industry Co., Ltd.
LRB;SAIC General Motors Buick
LRD;Beijing Foton Daimler Automotive Co., Ltd. Auman trucks
LRE;SAIC General Motors Cadillac
LRW;Tesla, Inc. (Gigafactory Shanghai)
LSC;Changan Automobile (light truck)
LSF;SAIC Maxus & Shanghai Sunwin Bus Corporation
LSG;SAIC General Motors Chevrolet
LSH;SAIC Maxus van
LSJ;SAIC MG & SAIC Roewe & IM Motors
LSK;SAIC Maxus
LSV;SAIC Volkswagen (VW, Skoda, Tantus)
LSY;Brilliance (Zhonghua) & Jinbei GM
LS4;Changan Automobile (MPV/SUV)
LS5;Changan Automobile (car) & Changan Suzuki
LS6;Changan Automobile & Deepal Automobile Technology Co., Ltd. & Avatr Technology Co., Ltd.
LS7;JMC Heavy Duty Truck Co., Ltd.
LTA;ZX Auto
LTN;Soueast built Chrysler & Dodge vehicles
LTP;National Electric Vehicle Sweden AB (NEVS)
LTV;FAW [[../Toyota/VIN Codes|Toyota]] (Tianjin)
LTW;Zhejiang Dianka Automobile Technology Co. Ltd. (Enovate) 
LUC;[[../Honda/VIN Codes|Honda]] Automobile (China)
LUD;Dongfeng Nissan Diesel Motor Co Ltd.
LUX;Dongfeng Yulon Motor Co. Ltd.
LUZ;Hozon Auto New Energy Automobile Co., Ltd. (Neta)
LVA;Foton Motor
LVB;Foton Motor
LVC;Foton Motor
LVF;Changhe Suzuki
LVG;GAC Toyota
LVH;Dongfeng Honda
LVM;Chery Commercial Vehicle
LVP;Dongfeng Sokon Motor Company (DFSK)
LVR;Changan Mazda
LVS;Changan [[../Ford/VIN Codes|Ford]] & Changan Ford Mazda
LVT;Chery Automobile (Exeed)
LVU;Chery Automobile (Jetour)
LVV;Chery Automobile (Omoda, Jaecoo)
LVX;Landwind (discontinued in 2021)
LVX;Aiways Automobiles Company Ltd
LVY;Volvo Cars Daqing factory
LVZ;Dongfeng Sokon Motor Company (DFSK)
LV3;National Electric Vehicle Sweden AB (NEVS)
LV7;Jinan Qingqi Motorcycle
LWB;Wuyang Honda Motorcycle (Guangzhou) Co., Ltd.
LWG;Chongqing Huansong Industries (Group) Co., Ltd.
LWL;Qingling Isuzu
LWV;GAC Fiat Chrysler (Fiat)
LW4;Li Auto
LXG;Xuzhou Construction Machinery Group Co., Ltd. (XCMG)
LXM;Xiamen Xiashing Motorcycle Co Ltd.
LXN;Link Tour
LXV;Beijing Borgward Automotive Co., Ltd.
LXY;Chongqing Shineray Motorcycle Co., Ltd.
LX6;Jiangmen City Huari Group Co. Ltd. (motorcycle)
LX8;Chongqing Xgjao (Xinganjue) Motorcycle Co Ltd.
LYB;Weichai (Yangzhou) Yaxing Automobile Co., Ltd.
LYM;Zhuzhou Jianshe Yamaha Motorcycle Co., Ltd.
LYU;Huansu (BAIC Motor & Yinxiang Group)
LYV;Volvo Cars Chengdu factory & Luqiao factory
LY4;Chongqing Yingang Science & Technology Group Co., Ltd. (motorcycle)
LZE;Isuzu Guangzhou, China
LZF;SAIC Iveco Hongyan
LZG;Shaanxi Automobile Group Shacman Bus
LZK;Sinotruk (CNHTC) Huanghe bus
LZL;Zengcheng Haili Motorcycle Ltd.
LZM;MAN China
LZP;Zhongshan Guochi Motorcycle (Baotian)
LZS;Zongshen, Electra Meccanica Vehicles Corp. (Solo) made by Zongshen
LZU;Guangzhou Isuzu Bus
LZW;SAIC GM Wuling
LZY;Yutong Zhengzhou, China
LZZ;Sinotruk (CNHTC) (Howo, Sitrak)
LZ0;Shandong Wuzheng Group Co., Ltd.
LZ4;Jiangsu Linzhi Shangyang Group Co Ltd.
LZ9/LZX;Raysince
L1N;XPeng Motors
L10;Geely Emgrand
L2C;Chery Jaguar Land Rover
L3H;Shanxi Victory Automobile Manufacturing Co., Ltd.
L4B;Xingyue Group (motorcycles)
L4F;Suzhou Eagle Electric Vehicle Manufacturing Co., Ltd.
L4H;Ningbo Longjia Motorcycle Co., Ltd.
L4S;Zhejiang Xingyue Vehicle Co Ltd. (motorcycles)
L4Y;Qingqi Group Ningbo Rhon Motorcycle / Ningbo Dalong Smooth Locomotive Industry Co., Ltd.
L5C;KangDi (ATV)
L5E;Zoomlion Heavy Industry Science & Technology Co., Ltd.
L5K;Zhejiang Yongkang Easy Vehicle
L5N;Zhejiang Taotao, China (ATV & motorcycles)
L5Y;Merato Motorcycle Taizhou Zhongneng Motorcycle Co. Ltd. (Znen)
L6T;Geely, Lynk & Co, Zeekr
L66;Zhuhai Granton Bus and Coach Co. Ltd. 
L82;Baotian
L85;Zhejiang Yongkang Huabao Electric Appliance
L8A;Jinhua Youngman Automobile Manufacturing Co., Ltd.
L8X;Zhejiang Summit Huawin Motorcycle
L8Y;Zhejiang Jonway Motorcycle Manufacturing Co., Ltd.
L9G;Zhuhai Guangtong Automobile Co., Ltd. (bus)
L9N;Zhejiang Taotao Vehicles Co., Ltd.
MAB;Mahindra & Mahindra
MAC;Mahindra & Mahindra
MAH;Fiat India Automobiles Pvt. Ltd
MAJ;[[../Ford/VIN Codes|Ford]] India
MAK;[[../Honda/VIN Codes|Honda]] Cars India
MAL;Hyundai Motor India
MAN;Eicher Polaris Multix
MAT;Tata Motors, Rover CityRover
MA1;Mahindra & Mahindra
MA3;Maruti Suzuki India (domestic & export)
MA6;GM India
MA7;Hindustan Motors Ltd & Mitsubishi Motors & Isuzu models made by Hindustan Motors
MBF;Royal Enfield
MBH;Suzuki (for export) & Nissan Pixo made by Maruti Suzuki India Limited
MBJ;[[../Toyota/VIN Codes|Toyota]] Kirloskar Motor Pvt. Ltd.
MBK;MAN Trucks India Pvt. Ltd.
MBL;Hero MotoCorp
MBR;Mercedes-Benz India
MBU;Swaraj Vehicles Limited
MBV;Premier Automobiles Ltd.
MBX;Piaggio India (Piaggio Ape)
MBY;Asia Motor Works Ltd.
MB1;Ashok Leyland
MB7;Reva Electric Car Company
MB8;Suzuki Motorcycle India Limited
MCA;FCA India Automobiles Pvt. Ltd
MCB;GM India
MCD;Mahindra Two Wheelers
MCG;Atul Auto
MCL;International Cars And Motors Ltd.
MC1;Force Motors Ltd.
MC2;Eicher Motors Ltd./Volvo Eicher Commercial Vehicles Ltd.
MC4;Dilip Chhabria Design Pvt Ltd.
MDE;Kinetic Engineering Limited
MDH;Nissan Motor India Pvt Ltd.
MDT;Kerala Automobiles Limited
MD2;Bajaj Auto Ltd. & KTM and Husqvarna models built by Bajaj
MD6;TVS Motor Company
MD7;LML Ltd including Genuine Scooter Company Stella
MD9;Shuttle Cars India
MEC;Daimler India Commercial Vehicles (BharatBenz)
MEE;Renault India Private Limited
MEG;Harley-Davidson India
MER;Benelli India
MET;Piaggio India (Vespa)
MEX;Škoda Auto Volkswagen India Pvt. Ltd. 2015 on
ME1;India Yamaha Motor Pvt. Ltd.
ME3;Royal Enfield
ME4;Honda Motorcycle and Scooter India
MYH;Ather Energy
MZB;Kia India Pvt. Ltd.
MZD;Classic Legends Private Limited – Jawa
MZZ;Citroen India
MZ7;MG Motor India Pvt. Ltd.
M3G;Isuzu Motors India
M6F;UM Lohia Two Wheelers Private Limited
MF3;PT Hyundai Motor Manufacturing Indonesia
MHD;PT Indomobil Suzuki International
MHF;PT [[../Toyota/VIN Codes|Toyota]] Motor Manufacturing Indonesia
MHK;PT Astra Daihatsu Motor (includes Toyotas made by Astra Daihatsu)
